1. newxh  [RAY FORCE KING]    [タイトーステーション所沢店@埼玉県@関東] Score: 1582000000 
805. ZU  [クラーケン]    [タイトーステーション大須店@愛知県@東海] Score: 1127516443 
806. G8.inc  [練習中]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1125660707 
807. SSS  [魔奴化]    [ゲームランド松山@長崎県@九州] Score: 1125586624 
808. TAKE  [magnet god]    [モナコ川越店@埼玉県@関東] Score: 1125173031 
809. Re.Vive*  [長野勢]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1124877883 
810. rikuoh-M  [幸福理論神]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1124355934 
811. csmS2000  [ドリームパーティーゴッド]    [プレイロットジョイ@東京都@関東] Score: 1123814564 
812. se@3156  [奇々怪界神]    [ＣＬＵＢＳＥＧＡ姫路ＯＳ@兵庫県@近畿] Score: 1123061112 
813. EZ2ON  [S+級ネギトロ]    [MOFUN SEOUL@Korea@海外] Score: 1122716582 
814. KiS@Me  [Chaos God]    [ＳＥＧＡＡＲＥＮＡ中間@福岡県@九州] Score: 1122652812 
815. AZKKR  [No friend god]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1122235871 
816. JACK*  [第三回天下一音ゲ祭 ファイナリスト]    [ナムコランド広島店@広島県@中国] Score: 1121400720 
817. 273  [村人A]    [セガワールド大森@東京都@関東] Score: 1121297106 
818. Taku_N.  [God hive of Ra]    [ユーファクトリー安城店@愛知県@東海] Score: 1120899591 
819. AXue  [GROOVER]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1120787505 
820. Miso  [そーなのかー]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1120541604 
821. TENTAI2  [天体観測神]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1117844190 
822. +_RM13_  [わわわわーにん！]    [ラウンドワン千日前店@大阪府@近畿] Score: 1117843784 
823. mkt  [ケンタウロス]    [セガワールド尾西@愛知県@東海] Score: 1117654478 
824. HAYASHI  [神奈川勢]    [タイトーステーション秋葉原店@東京都@関東] Score: 1114216109 
825. NAKAHITO  [変なTシャツヤロー]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1113804449 
826. ZANKURO  [がっかリンカちゃん]    [キャッツアイ新川店@北海道@北海道] Score: 1112856479 
827. MODOKI  [GROOVER]    [ROUND1(PUENTE HILLS)@America@海外] Score: 1112808917 
828. Chocola  [玄武]    [カプセル永山@東京都@関東] Score: 1112743316 
829. BIGBANG  [世界の傍観者]    [TOM'S(TAINAN JHENGUANG)@Taiwan@海外] Score: 1112598659 
830. ELEMENT!  [railgun god]    [AMAZONE(ARTHA GADING)@Indonesia@海外] Score: 1111930023 
831. *SHEEP*  [十二宗家]    [プラサカプコン志都呂店@静岡県@東海] Score: 1111759575 
832. NAO(*_*)  [リズム感の神]    [タイトーＦＳセントポルタ大分店@大分県@九州] Score: 1111693077 
833. teiramic  [Kick It Out Master]    [モリシア　アミューズパーク@千葉県@関東] Score: 1111488791 
834. Keturin@  [壁をすり抜けられる程度の女王]    [ジーフラット姫路東駅前店@兵庫県@近畿] Score: 1110758071 
835. Lilium.L  [うー！がぉー！]    [アムネット五反田店@東京都@関東] Score: 1110504679 
836. CANBIN  [magnet master]    [タイトーステーション池袋西口店@東京都@関東] Score: 1108615120 
837. +HiRO+  [東方六楽抄]    [タイトーステーション大宮店@埼玉県@関東] Score: 1107189270 
838. Foxy  [ワーウルフ]    [ラウンドワン梅田店@大阪府@近畿] Score: 1106466119 
839. AGNES+Y  [全知全能の王]    [GOLD STAR(TSUEN WAN)@Hong Kong@海外] Score: 1105977832 
840. FeeT  [二代目超シューティング神]    [ソユーゲームフィールド天童店@山形県@東北] Score: 1105613107 
841. LEGACY  [お断リンちゃん！]    [ピンクパンサーつくば店@茨城県@関東] Score: 1105600345 
842. DBB_HTC  [I love "東方不死鳥"]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1104734425 
843. eden!  [GOD]    [ユーズランド倉敷店@岡山県@中国] Score: 1104630121 
844. Fyei  [完璧系女子]    [セガ秋葉原@東京都@関東] Score: 1103586021 
845. VIRGO  [SUPER STAR]    [ドリームファクトリーいわき店@福島県@東北] Score: 1103559781 
846. igohs88  [Scarlet Lance God]    [ｎａｍｃｏ王子サンスクエア店@東京都@関東] Score: 1103427581 
847. banal  [ニャスニャス！]    [上越レジャーランボウル@新潟県@信越] Score: 1103308849 
848. sousetsu  [議論神]    [ラウンドワン仙台苦竹店@宮城県@東北] Score: 1102000747 
849. zinchan  [天馬と奏でる音楽家]    [ユーズランド水戸内原店@茨城県@関東] Score: 1101835129 
850. Mo  [噂の美少女探偵]    [ラウンドワンアリオ柏店@千葉県@関東] Score: 1100733094 
851. PLeiaDes  [Future Coaster God]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1098772504 
852. HALKEN  [I love 燦]    [ESLITE WUCHANG@Taiwan@海外] Score: 1098020365 
853. Admit???  [店内F CLASS]    [GAME TOPIA@Korea@海外] Score: 1097265762 
854. SAY-YEAH  [Lightning master]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1095955151 
855. SoLA  [GROOVER]    [ＧＲＥＡ@愛知県@東海] Score: 1095567335 
856. MATCHAN  [GROOVER]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1094850068 
857. BOLUX  [RED ALERT]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1093003464 
858. 39COSAV  [S+級長ネギ]    [ジーカム和白@福岡県@九州] Score: 1092708115 
859. pns  [FEVER! FEVER! FEVER!]    [Ｈｅｙ@東京都@関東] Score: 1092401340 
860. RBA@7777  [永遠の魔法少女未満]    [セガ赤羽@東京都@関東] Score: 1091946278 
861. NANAMI  [I love "naraku within"]    [ラウンドワン高知店@高知県@四国] Score: 1091680685 
862. exit.  [踊ってみたら七変化！]    [ジョイランド江守店@福井県@北陸] Score: 1091005442 
863. Yufuwin  [ピュアスマイル]    [トライセン中津店@大分県@九州] Score: 1090356142 
864. KANO_8  [ドリームパーティーゴッド]    [タイトーステーション立川北口店@東京都@関東] Score: 1090187037 
865. PON-05  [GROOVER]    [ジョイランド　アミューズ諏訪@静岡県@東海] Score: 1090135536 
866. 6DammK9  [あたいったら最強ね！]    [HOLLYWOOD GAME ZONE@Hong Kong@海外] Score: 1089427089 
867. ++CaL+/  [Ｓ＋級からあげ]    [アドアーズ狸小路@北海道@北海道] Score: 1089022805 
868. Gemma  [JUPITER]    [ポート２４幸田店@愛知県@東海] Score: 1088851081 
869. T-s.1225  [死神]    [COBAY MINES@Malaysia@海外] Score: 1088574471 
870. URX-OD.Z  [旅人]    [タイトーステーション立川北口店@東京都@関東] Score: 1086434823 
871. KEISUKE  [グルーヴ皆伝]    [ラウンドワン半田店@愛知県@東海] Score: 1085905248 
872. ACHAKURA  [I love IA 2016]    [ソユーゲームフィールド堺鉄砲町@大阪府@近畿] Score: 1085783118 
873. APO  [てくてくゴッド]    [タイトーステーション池袋西口店@東京都@関東] Score: 1085278267 
874. Astral  [Z神]    [コムテックスクウェア@愛知県@東海] Score: 1085272203 
875. NAYU  [TANO*C GOD]    [タイトーステーション池袋西口店@東京都@関東] Score: 1085089942 
876. himiya  [ゴーゴー神]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1084822176 
877. TATAZUN  [山口勢]    [ｎａｍｃｏフジグラン宇部店@山口県@中国] Score: 1084643879 
878. FUKUOKA3  [SUPER STAR]    [セガ我孫子@千葉県@関東] Score: 1083009584 
879. shimochi  [創聖のゴッド]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1081960390 
880. Yuki  [死欲の半霊]    [アミパラテクノランド店@岡山県@中国] Score: 1081863371 
881. WhiteLen  [ペガサス]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1081742785 
882. RYOUKI  [GOD]    [ナムコランド広島店@広島県@中国] Score: 1081693440 
883. Kaonori  [アバターマニア]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1081431357 
884. muku  [二代目超シューティング神]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1081219925 
885. Ta@-KO  [Ｓ＋級ラーメン]    [タイトーステーション上野アメ横@東京都@関東] Score: 1080187432 
886. Rotter.  [God hive of Ra]    [タイトーステーション立川北口店@東京都@関東] Score: 1079932615 
887. Kouhei  [2112410403 2504434504]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1079584676 
888. shu  [ニンジャヘッズ]    [新宿プレイランドカーニバル@東京都@関東] Score: 1079382095 
889. subtle_k  [マスター・ムラサ]    [タイトーステーション池袋西口店@東京都@関東] Score: 1078857058 
890. NEIL  [初代☆]    [GAMEZONE(MONG KOK)_h@Hong Kong@海外] Score: 1078806721 
891. ZARRY  [神霊「夢想封印 瞬」]    [プラサカプコン新居浜店@愛媛県@四国] Score: 1078657361 
892. SRH  [I love "議論 -HEAT UP-"]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1076261945 
893. K@NiDON  [WARNING!!]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1076104596 
894. Nonnnn**  [無彩色神]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1076065732 
895. RETSU  [うどんげ神]    [プレイロットジョイ@東京都@関東] Score: 1075001641 
896. IM  [I love "Gluttony Fang"]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1074357412 
897. #bu  [初PERFECT]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1074064480 
898. today  [宮城勢]    [ムトス相模原店@神奈川県@関東] Score: 1073742494 
899. Tutinoko  [ほっぺたぷにぷに]    [タイトーステーション所沢店@埼玉県@関東] Score: 1073277453 
900. 8thSHUHO  [華霊「バタフライディルージョン」]    [Ｔ／Ｓファボーレ婦中@富山県@北陸] Score: 1073220994 
********************************************************************************************
901. Karen  [railgun god]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1072933784 
902. O8G!?  [わわわわーにん！]    [ディノスパーク帯広店@北海道@北海道] Score: 1072154816 
903. fk  [村人A]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1070540145 
904. MEIRA  [ペガサス]    [アドアーズ藤沢北口@神奈川県@関東] Score: 1070097042 
905. gatta  [小さな百鬼夜行]    [ラウンドワン新潟店@新潟県@信越] Score: 1069992506 
906. Kanon  [「幼女の世界」]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1069836117 
907. MoyaC.  [MERLIN GOD]    [ラウンドワン函館店@北海道@北海道] Score: 1069396008 
908. SYUSYOU  [Oh! Jesus!]    [セガ金山@愛知県@東海] Score: 1068941712 
909. Ciel  [幸福理論大王]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1068434810 
910. (ELSIE)  [チキンライス]    [ラウンドワン大宮店@埼玉県@関東] Score: 1068376741 
911. AREKU.F  [GREAT]    [立川ゲームオスロー第５店@東京都@関東] Score: 1067000000 
912. Lexia.  [ワーウルフ]    [セガワールドサントムーン@静岡県@東海] Score: 1066939085 
913. KA-NI-EX  [MNKGod]    [テクモピア南越谷店@埼玉県@関東] Score: 1066839468 
914. Kevin  [I love "蒼空に舞え、墨染の桜"]    [ESLITE WUCHANG@Taiwan@海外] Score: 1066622958 
915. ALPATROS  [行脚神]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1065707596 
916. Naru  [I love "東方外魔伝"]    [セガワールド草津@滋賀県@近畿] Score: 1065627847 
917. Snail  [キャッチ・ザ・ハート]    [ピンクパンサー那珂店@茨城県@関東] Score: 1065189850 
918. tinrtgu  [絶望]    [TOM'S WORLD(MING YAO)@Taiwan@海外] Score: 1064847611 
919. SUTORES*  [東方六楽抄]    [セガワールド草津@滋賀県@近畿] Score: 1064154427 
920. DDR!?  [Sampling Masters]    [ドリームファクトリーいわき店@福島県@東北] Score: 1064032211 
921. SYAGE  [どんつくどんつくどんつくどんつく]    [コムテックスクウェア@愛知県@東海] Score: 1064015274 
922. Y.  [Get down everybody!]    [ｎａｍｃｏシルクドゥガリバー店@新潟県@信越] Score: 1063287300 
923. Jibri-l*  [Scarlet Lance God]    [キャッツアイ麻生店@北海道@北海道] Score: 1063228669 
924. TAKANASI  [真・百億段]    [ラウンドワン佐賀店@佐賀県@九州] Score: 1062915728 
925. *P*R*P*  [がんばユメちゃん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1062280559 
926. HEI.  [W.W.G]    [SMART GAME(MONG KOK)@Hong Kong@海外] Score: 1062053160 
927. JIS  [悪ノ女王]    [セガ小名浜@福島県@東北] Score: 1061502553 
928. KAS  [GAME MUSIC TRIANGLER]    [ｎａｍｃｏフジグラン宇部店@山口県@中国] Score: 1061182080 
929. AKATUKI  [幽冥楼閣の亡霊少女]    [セガ神楽坂@東京都@関東] Score: 1061076348 
930. Tyrfing  [たのしー！]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1060783496 
931. N@  [I love "東方音銃夢"]    [タイトーステーション立川北口店@東京都@関東] Score: 1060196067 
932. ZOMBIE  [小槌「お前が大きくなあれ」]    [ゲームスポットＳＰＥＥＤ@山口県@中国] Score: 1059662088 
933. Hamilton  [ドーモ、グルーヴァー=サン…]    [セガ新三国アルゴ７@大阪府@近畿] Score: 1058368316 
934. YU-KYAN  [帝]    [セガ代々木@東京都@関東] Score: 1057894299 
935. DJGEN115  [ベテラン]    [ユーファクトリー安城店@愛知県@東海] Score: 1057652830 
936. YAYOI  [長崎勢]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1055129639 
937. JLCExCBY  [星霜鋼機]    [AMAZONE(ARTHA GADING)@Indonesia@海外] Score: 1054709994 
938. (>w<)/  [V.I.P神]    [サードプラネットＢ京都二条店@京都府@近畿] Score: 1054238139 
939. TAKE-W.O  [キャッチ・ザ・ハート]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1053837210 
940. Oriens  [God's Blood]    [キャッツアイ麻生店@北海道@北海道] Score: 1053380137 
941. Al  [ANGEL]    [半田メトロポリス@愛知県@東海] Score: 1052979100 
942. ROW  [バジリスク]    [ハイテクランドセガ立石@東京都@関東] Score: 1052267047 
943. skkn  [わわわわーにん！]    [タイトーステーション上野アメ横@東京都@関東] Score: 1051283388 
944. DJ.NEPU  [わわわわーにん！]    [四日市アミューズメントパーク@三重県@東海] Score: 1050905358 
945. Alice?  [I love "Dreamer"]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1050786314 
946. SAKI  [神霊「夢想封印 瞬」]    [TOM'S WORLD(MING YAO)@Taiwan@海外] Score: 1049666540 
947. Blanc-HD  [HARDCORE SYNDROME]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1049212963 
948. NECO33  [「幼女の世界」]    [ラウンドワン市原店@千葉県@関東] Score: 1048084088 
949. ORANGESU  [Black King]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1048031244 
950. juno  [UFO-CO大王]    [ARCADE1@Korea@海外] Score: 1047489986 
951. Galatea.  [Ever…]    [ジャムジャム神栖店@茨城県@関東] Score: 1047390548 
952. m_noburi  [お断ユメちゃん！]    [名古屋レジャーランド　内田橋店@愛知県@東海] Score: 1046929085 
953. OIMO  [金色の異端児]    [セガ竹の塚@東京都@関東] Score: 1046711223 
954. A-Y.s9  [カノン ゴッド]    [タイトーＦステーション三宮店@兵庫県@近畿] Score: 1046502183 
955. NOZOMI!  [ゆっくりしていってね！]    [セガ松江@島根県@中国] Score: 1045875318 
956. Madras  [GROOVER]    [セガワールド布施@大阪府@近畿] Score: 1045309485 
957. syatiku  [ルーキー]    [セガワールド大森@東京都@関東] Score: 1044935340 
958. AIRIN  [楽園の巫女]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1044814223 
959. Bump  [サドマミゴッド]    [キャッツアイ麻生店@北海道@北海道] Score: 1042829216 
960. Akatsuki  [第四ノ封印ヲ解放セシ者]    [OOEDO TANUKIZA E-SPORT CENTER@Taiwan@海外] Score: 1042652555 
961. Coinst  [栃木勢]    [サードプラネットＢｉＶｉ沼津店@静岡県@東海] Score: 1042138569 
962. 0  [キャッチ・ザ・ハート]    [ソユーゲームフィールド御所野店@秋田県@東北] Score: 1041083438 
963. Re-BLACK  [GROOVER]    [タイトーステーション秋葉原店@東京都@関東] Score: 1040647929 
964. TeRA  [おやすミクさん！]    [ホムスタ　玉津店@兵庫県@近畿] Score: 1039283339 
965. COASTER  [初代スコアタ騎士]    [TOM'S WORLD(HUALIEN E33)@Taiwan@海外] Score: 1039263528 
966. S.Osiris  [Are you ready?]    [セガ秋葉原１号館@東京都@関東] Score: 1038286740 
967. ANPANMAN  [Ｓ＋級パン]    [セガワールド入間@埼玉県@関東] Score: 1037856507 
968. moroko@@  [メイド秘技「殺人ドール」]    [TOM'S WORLD(MING YAO)@Taiwan@海外] Score: 1037735295 
969. BOX  [[ 9 ]]    [ラウンドワン福岡天神店@福岡県@九州] Score: 1037452297 
970. Kaze!?  [清らかな女神]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1036159832 
971. *COCO*  [LINK GOD]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1035895329 
972. MinT  [I love t+pazolite]    [アミパラここじゃ@広島県@中国] Score: 1035371060 
973. FeAffAld  [I love "Sign of "10.5km""]    [Ｈｅｙ@東京都@関東] Score: 1034643211 
974. A-CID  [スターミュージシャン]    [プラボ小樽店@北海道@北海道] Score: 1034320829 
975. Elluna  [IRON FOSSIL]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1033876905 
976. KaraKure  [散楽祭大王]    [セガ今市@栃木県@関東] Score: 1033866264 
977. tender  [神霊「夢想封印 瞬」]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1032885194 
978. TERUMI_K  [変なTシャツ女王]    [セガ明石@兵庫県@近畿] Score: 1031930399 
979. Zombie  [ハイテンションA-POPガール]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1030815259 
980. C*Crow:S  [Future Coaster God]    [アミューズファクトリー@愛知県@東海] Score: 1030006823 
981. TK  [GROOVER]    [ＣＬＵＢＳＥＧＡ名古屋伏見@愛知県@東海] Score: 1029003533 
982. *KOYUKI*  [駆け出し]    [タイトーステーション和光店@埼玉県@関東] Score: 1028296024 
983. RAK  [光の橋を架けて]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1027316516 
984. Yorda  [第五ノ封印ヲ解放セシ者]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1027103125 
985. CHAOS  [Chaos God]    [プレイロットジョイ@東京都@関東] Score: 1026448032 
986. TOMOYA  [サドマミゴッド]    [ラウンドワン入間店@埼玉県@関東] Score: 1025890193 
987. Rk*2B!_K  [OMAKENO Kamisama]    [セガ明石@兵庫県@近畿] Score: 1025832316 
988. alhime  [最高の舞台を目指せ！]    [ラウンドワン宝塚店@兵庫県@近畿] Score: 1025825470 
989. Haruka  [ROCK FIST]    [ゲームランド松山@長崎県@九州] Score: 1025794174 
990. UNADON  [練習中]    [アピナ太田店@群馬県@関東] Score: 1025171535 
991. Goo.  [中級者]    [ヒューストン西川口店@埼玉県@関東] Score: 1024797945 
992. KECAK.  [I love "Dreamer"]    [エンターテインメントフィールド@大阪府@近畿] Score: 1024698099 
993. REIMU  [例大祭先生]    [ラウンドワン川崎大師店@神奈川県@関東] Score: 1024442838 
994. Ratikal  [VKL5.03]    [ROUND1(SILVER CITY GALLERIA)@America@海外] Score: 1022837130 
995. Mr.Akva  [すっごーい！]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1022829714 
996. URS  [メイド秘技「殺人ドール」]    [プラサカプコン新居浜店@愛媛県@四国] Score: 1022652939 
997. CELICA.  [わわわわーにん！]    [タイトー　オリナス錦糸町店@東京都@関東] Score: 1021973980 
998. S.SUZUCA  [二代目超シューティング神]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1021352642 
999. H1R0*CKP  [真・四級]    [ラウンドワン岡山妹尾店@岡山県@中国] Score: 1020978919 
1000. Iris*HNY  [最速最高神]    [タイトーステーション大須店@愛知県@東海] Score: 1020767757 
********************************************************************************************
